MW,ALOGP,HBA,HBD,PSA,ROTB,AROM,ALERTS
2.817065973,3.172690585,2.948620388,1.618662227,1.876861559,0.01,3.21778897,0.01
392.5754953,137.8624751,160.4605972,1010.051101,125.2232657,272.4121427,957.7374108,1199.094025
290.7489764,2.534937431,3.615294657,0.985094388,62.90773554,2.55837997,2.274627939,-0.09002883
2.419764353,4.581497897,4.435986202,1E-12,87.83366614,1.565547684,1E-12,1E-12
49.22325677,0.822739154,0.290141953,0.713820843,12.01999824,1.271567166,1.317690384,0.185904477
65.37051707,0.576295591,1.300669958,0.920922555,28.51324732,2.758063707,0.375760881,0.875193782
104.9805561,131.3186604,148.7763046,258.1632616,104.5686167,105.4420403,312.337261,417.725314
